TimeStamp,v_Vehicle,pos_x,pos_z,v_EgoPerson,pos_x_left_foot,pos_z_left_foot,crossingDecisionToken,SubjectID,ScenarioID,dest_rel_dist,speed,rel_dist_vel,acc,const,dec,Velocity_gradient,v_to_vmax,sin_Angle,direction,left,central,right,dest,curr_dist_left_dec_x,curr_dist_left_acc_x,curr_dist_left_const_x,curr_dist_right_dec_x,curr_dist_right_acc_x,curr_dist_right_const_x,curr_dist_central_dec_x,curr_dist_central_acc_x,curr_dist_central_const_x,curr_dist_left_dec_z,curr_dist_left_acc_z,curr_dist_left_const_z,curr_dist_right_dec_z,curr_dist_right_acc_z,curr_dist_right_const_z,curr_dist_central_dec_z,curr_dist_central_acc_z,curr_dist_central_const_z,dest_dist_left_dec,dest_dist_left_acc,dest_dist_left_const,dest_dist_right_dec,dest_dist_right_acc,dest_dist_right_const,dest_dist_central_dec,dest_dist_central_acc,dest_dist_central_const,car_dist_left_dec,car_dist_left_acc,car_dist_left_const,car_dist_right_dec,car_dist_right_acc,car_dist_right_const,car_dist_central_dec,car_dist_central_acc,car_dist_central_const,v_Vehicle_Effect,Angle_Left_Acc,Angle_Left_Dec,Angle_Left_Const,Angle_Right_Acc,Angle_Right_Dec,Angle_Right_Const,Angle_Central_Acc,Angle_Central_Dec,Angle_Central_Const,Choice_Literal,Choice,PrevChoice_1,PrevChoice_2,PrevChoice_3,PrevChoice_4,PrevChoice_5,PrevChoice_6,PrevChoice_7,PrevChoice_8,PrevChoice_9,InvID
45.69889,2.362474,-138.0926,391.2658,1.45049,-148.8929,395.7296,FALSE,1,1,13.6230228,Acc,4.946679604,1,0,0,0.549182007,1.088311803,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,2.362474,0,0,0,0,0,0,0,0,0,C-Acc,3,0,0,0,0,0,1,0,0,0,21
46.81,0.636104,-139.2738,391.2331,1.232056,-149.0647,394.799,FALSE,1,1,12.67833262,Const,16.38104199,0,1,0,0.046943597,0.924419394,0,C,0,1,0,7,-148.8946044,-148.0441263,-148.4977146,-149.3118184,-150.5474101,-149.8884278,-149.1191633,-149.3914798,-149.2462443,394.5518816,393.3162899,393.9752722,394.6289044,393.7784263,394.2320146,394.5039852,393.028911,393.8156172,12.45526039,11.39300129,11.94786296,12.48153746,11.56425848,12.03892226,12.37890313,10.88222707,11.68034818,10.17714049,9.014338771,9.622895036,10.5968533,11.55737735,11.03013206,10.37448159,10.27581539,10.30140968,0.636104,0.724450353,0.724450353,0.724450353,0.846345974,0.846345974,0.846345974,0.06094781,0.06094781,0.06094781,C-Const,6,0,0,1,0,0,0,0,0,0,22
47.92111,0.1900432,-139.39,391.2259,1.554809,-149.206,393.5943,TRUE,1,1,11.46539013,Const,53.13361195,0,1,0,0.106381456,1.166583008,3.77003402,C,0,1,0,7,-149.0200239,-148.0901436,-148.5860798,-149.4413995,-150.6183967,-149.9906649,-149.2409476,-149.4156857,-149.3224921,393.3589005,392.1819033,392.8096351,393.4083239,392.4784436,392.9743798,393.2963425,391.8065551,392.6011084,11.25641972,10.27939952,10.7855405,11.25410107,10.26415562,10.77747206,11.16539457,9.665420861,10.4654059,9.863419911,8.752510568,9.331457576,10.28560184,11.29804225,10.74389487,10.06617609,10.04248644,10.02724271,0.1900432,0.790763133,0.790763133,0.790763133,0.780033194,0.780033194,0.780033194,0.00536497,0.00536497,0.00536497,C-Const,6,0,0,0,0,0,1,0,0,0,23
49.03222,0.04356436,-139.5113,391.2179,1.468459,-149.2025,391.6893,FALSE,1,1,9.577900868,Const,222.7200896,0,1,0,-0.64519467,1.101794057,6.794959593,C,0,1,0,7,-148.9899786,-147.9273715,-148.4940953,-149.4142419,-150.4729516,-149.9083064,-149.2019488,-149.1991929,-149.2006627,391.4775581,390.4188484,390.9834936,391.4767786,390.4141715,390.9808953,391.3893005,389.889303,390.6893017,9.402596471,8.629715937,9.019144613,9.338412179,8.200897937,8.794053389,9.281311231,7.80227555,8.590189876,9.482234438,8.453918775,8.985853171,9.906325103,10.99107753,10.39970741,9.692164499,9.778570401,9.703770728,0.04356436,0.933951925,0.933951925,0.933951925,0.636844401,0.636844401,0.636844401,0.148553762,0.148553762,0.148553762,C-Const,6,0,0,0,0,0,1,0,0,0,24
50.14333,0.09827313,-139.4283,391.215,0.1210445,-149.1561,390.2855,FALSE,1,1,8.199812254,Dec,99.4382328,0,0,1,-0.008649009,0.090820452,1.787848573,C,0,1,0,7,-148.9370759,-147.8419557,-148.4260198,-149.3611084,-150.3861507,-149.8394615,-149.1461895,-149.0966368,-149.1230649,390.0804916,389.0554493,389.6021385,390.0664759,388.9713557,389.5554198,389.9856637,388.4864825,389.2860458,8.040601534,7.377196835,7.701824097,7.949730603,6.760524758,7.380689211,7.906675492,6.450465026,7.224881231,9.576216863,8.686383654,9.141131448,9.998989507,11.18518804,10.54260357,9.795337839,10.04597157,9.884803019,0.09827313,0.995786138,0.995786138,0.995786138,0.575010189,0.575010189,0.575010189,0.210387975,0.210387975,0.210387975,C-Dec,9,0,0,0,0,0,1,0,0,0,25
51.25444,0.04842812,-139.3426,391.2119,1.449239,-149.1836,388.7381,FALSE,1,1,6.676362127,Acc,209.530444,1,0,0,0.625368616,1.08737317,-2.911255161,C,0,1,0,7,-148.9752708,-147.9336249,-148.4891694,-149.3994679,-150.4788074,-149.9031597,-149.1889307,-149.2155841,-149.2013689,388.5222321,387.4428926,388.0185403,388.5297708,387.4881249,388.0436694,388.4381474,386.9383842,387.7382579,6.514486401,5.870446502,6.177071903,6.42906985,5.275279951,5.871192741,6.382399211,4.923521293,5.698933181,10.00113296,9.381424519,9.687996581,10.40838167,11.74230032,11.02556601,10.22956165,10.75819466,10.45282328,0.04842812,0.981818153,0.981818153,0.981818153,0.588978174,0.588978174,0.588978174,0.19641999,0.19641999,0.19641999,C-Acc,3,0,0,0,0,0,0,0,0,1,26
52.36556,0.1346351,-139.4639,391.2039,1.510746,-149.4281,387.3549,FALSE,1,1,5.273087665,Const,79.33862732,0,1,0,-0.525578864,1.13352226,-9.006145059,C,0,1,0,7,-149.2561312,-148.3962874,-148.8548708,-149.6739185,-150.9030111,-150.2474951,-149.4803197,-149.741418,-149.6021656,387.1090815,385.8799889,386.5355049,387.1829312,386.3230874,386.7816708,387.0594798,385.5823787,386.3701659,5.076626158,4.27849638,4.661300134,5.054694,4.119747687,4.581162141,4.973480141,3.476458065,4.274610021,10.61392158,10.39863333,10.48733737,10.97327061,12.43686434,11.65512908,10.83996688,11.71447303,11.2316256,0.1346351,0.835079679,0.835079679,0.835079679,0.735716648,0.735716648,0.735716648,0.049681515,0.049681515,0.049681515,C-Const,6,0,0,1,0,0,0,0,0,0,27
53.47667,0.01794455,-139.487,391.1981,0.2812935,-149.4144,386.2924,FALSE,1,1,4.247700142,Dec,617.0872911,0,0,1,-0.67983638,0.211056289,10.76302151,L,1,0,0,7,-149.1995506,-148.1253034,-148.6982352,-149.6237794,-150.6706762,-150.1123312,-149.4105321,-149.3911925,-149.401507,386.0830206,385.0361238,385.5944688,386.0775506,385.0033034,385.5762352,385.9924249,384.4925496,385.2924831,4.115316222,3.755021056,3.879758607,3.985346981,2.789831686,3.397509385,3.961753698,2.580343327,3.304251208,10.97714332,10.61085469,10.78181514,11.35668625,12.7847612,12.02094121,11.20604935,11.960662,11.54009354,0.01794455,1.081826712,1.081826712,1.081826712,0.488969615,0.488969615,0.488969615,0.296428549,0.296428549,0.296428549,L-Dec,7,0,0,0,0,0,1,0,0,0,28
54.58778,0.07289474,-139.4152,391.1953,0,-149.543,385.2247,FALSE,1,1,3.191468667,Dec,161.2834768,0,0,1,0.796861022,0,-7.606690558,C,0,1,0,7,-149.3577572,-148.4315433,-148.9255241,-149.7789769,-150.9588616,-150.3295898,-149.5788745,-149.7582468,-149.6625815,384.9887231,383.8088384,384.4381102,385.0394572,384.1132433,384.6072241,384.9268527,383.4376161,384.2318756,3.040938323,2.693784335,2.785363715,2.942793403,1.932055078,2.408459008,2.899337993,1.486473528,2.225855809,11.72075259,11.65565364,11.66644237,12.05413923,13.54295573,12.74859399,11.94126084,12.92904776,12.38943532,0.07289474,1.003996801,1.003996801,1.003996801,0.566799525,0.566799525,0.566799525,0.218598638,0.218598638,0.218598638,C-Dec,9,0,0,0,0,0,0,1,0,0,29
55.69889,0.03821111,-139.411,391.1904,2.052094,-149.5876,384.2102,FALSE,1,1,2.239206292,Acc,322.9541557,1,0,0,0.506366606,1.539699082,4.350705661,C,0,1,0,7,-149.3849895,-148.3719372,-148.9122318,-149.8088442,-150.9150652,-150.3250807,-149.600776,-149.6666562,-149.6315201,383.9889558,382.8827348,383.4727193,384.0075895,382.9945372,383.5348318,383.9104895,382.4119369,383.211165,2.152259742,2.328756725,2.107439697,1.961146185,0.840441587,1.349398615,1.97000264,0.956680883,1.391736359,12.30208379,12.21948019,12.24075161,12.6375603,14.12500208,13.33134959,12.52312392,13.49962587,12.96638822,0.03821111,1.211961958,1.211961958,1.211961958,0.358834369,0.358834369,0.358834369,0.426563794,0.426563794,0.426563794,C-Acc,3,0,0,0,0,0,0,0,0,1,30
